date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:32:01	44906/44906	---M--	200	added ('OK')	image/jpeg	etag:W/%221d3989e1e086e00%22	http://product.hstatic.net/1000253446/product/upload_260fc55475e344409c43dc581fa47767_large.jpg	D:/Phan%20mem/WinHTTrack/test/dienquang/dienquang/product.hstatic.net/1000253446/product/upload_260fc55475e344409c43dc581fa47767_large.jpg	(from https://shop.dienquang.com/collections/den-trang-tri)
19:32:04	97833/97833	---MCZ	200	added ('OK')	text/html	etag:W/%225dbeb73f5b374e0c8a3bb435cd56bf7e%22	https://shop.dienquang.com/collections/den-trang-tri/products/den-trang-tri-dien-quang-dq-dl04-c-b-kieu-gom-su-co-bong-123456789	D:/Phan%20mem/WinHTTrack/test/dienquang/dienquang/shop.dienquang.com/collections/den-trang-tri/products/den-trang-tri-dien-quang-dq-dl04-c-b-kieu-gom-su-co-bong-123456789.html	(from https://shop.dienquang.com/collections/den-trang-tri)
19:32:04	99039/99039	---M--	200	added ('OK')	image/jpeg	etag:W/%221d3989e1e086e00%22	http://product.hstatic.net/1000253446/product/upload_5d522f7fca4d40ea9423466042380eab_large.jpg	D:/Phan%20mem/WinHTTrack/test/dienquang/dienquang/product.hstatic.net/1000253446/product/upload_5d522f7fca4d40ea9423466042380eab_large.jpg	(from https://shop.dienquang.com/collections/den-trang-tri)
19:32:05	0/-1	---M--	302	error ('')			https://shop.dienquang.com/checkout	D:/Phan%20mem/WinHTTrack/test/dienquang/dienquang/shop.dienquang.com/checkout.83c.delayed	(from https://shop.dienquang.com/collections/led-nen)
19:32:06	86902/86902	---M--	200	added ('OK')	image/jpeg	etag:W/%221d3989e21035e80%22	http://product.hstatic.net/1000253446/product/upload_2f897bdf16a74bdba8a825c2f6683201_large.jpg	D:/Phan%20mem/WinHTTrack/test/dienquang/dienquang/product.hstatic.net/1000253446/product/upload_2f897bdf16a74bdba8a825c2f6683201_large.jpg	(from https://shop.dienquang.com/collections/den-trang-tri)
19:32:07	123202/123202	---MCZ	200	added ('OK')	text/html	etag:W/%2220e5cce9958d481baf64f809aadfe476%22	https://shop.dienquang.com/collections/den-trang-tri?page=3	D:/Phan%20mem/WinHTTrack/test/dienquang/dienquang/shop.dienquang.com/collections/den-trang-tri9ba9.html	(from https://shop.dienquang.com/collections/den-trang-tri)
19:32:08	92978/92978	---MCZ	200	added ('OK')	text/html	etag:W/%22358167dec035483caecb6a6f783270b4%22	https://shop.dienquang.com/products/den-led-nen-dien-quang-dq-ledcdfl02-02727-2w-warmwhite-chup-trong	D:/Phan%20mem/WinHTTrack/test/dienquang/dienquang/shop.dienquang.com/products/den-led-nen-dien-quang-dq-ledcdfl02-02727-2w-warmwhite-chup-trong.html	(from https://shop.dienquang.com/collections/led-nen)
19:32:08	85046/85046	---M--	200	added ('OK')	image/jpeg	etag:W/%221d3989e1e086e00%22	http://product.hstatic.net/1000253446/product/upload_10137d95f2a34494b3a58a70d9442548_large.jpg	D:/Phan%20mem/WinHTTrack/test/dienquang/dienquang/product.hstatic.net/1000253446/product/upload_10137d95f2a34494b3a58a70d9442548_large.jpg	(from https://shop.dienquang.com/collections/den-trang-tri)
19:32:09	92695/92695	---MCZ	200	added ('OK')	text/html	etag:W/%225efffa8e8b7a4932aacde8eb83444d54%22	https://shop.dienquang.com/collections/led-nen/products/den-led-nen-dien-quang-dq-ledcd04-02765-2w-daylight-chup-mo	D:/Phan%20mem/WinHTTrack/test/dienquang/dienquang/shop.dienquang.com/collections/led-nen/products/den-led-nen-dien-quang-dq-ledcd04-02765-2w-daylight-chup-mo.html	(from https://shop.dienquang.com/collections/led-nen)
19:32:11	96785/96785	---MCZ	200	added ('OK')	text/html	etag:W/%22106ff6fd5ae14bc39f917b4a91909e09%22	https://shop.dienquang.com/products/den-led-nen-dien-quang-dq-ledcd04-02727-2w-warmwhite-chup-mo	D:/Phan%20mem/WinHTTrack/test/dienquang/dienquang/shop.dienquang.com/products/den-led-nen-dien-quang-dq-ledcd04-02727-2w-warmwhite-chup-mo.html	(from https://shop.dienquang.com/collections/led-nen)
